Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords,relevance,query_id,JobID
.NET Developer,Fresher,0-1,C#; VB.NET basics; .NET Framework; .NET Core fundamentals; ASP.NET; MVC; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; LINQ; Visual Studio; Git; Unit Testing basics,Assist in coding and debugging applications; Learn and apply .NET Framework and Core fundamentals; Support team in building ASP.NET MVC web applications; Write basic SQL queries and work with Entity Framework; Collaborate with peers to solve issues; Participate in code reviews for learning; Follow best practices in coding; Work with version control (Git),.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; LINQ; Visual Studio; Unit Testing,1,Q1,net-f-001
.NET Developer,Fresher,0-1,C#; VB.NET basics; .NET Core; ASP.NET MVC; HTML; CSS; JavaScript basics; SQL Server; Git,Contribute to development of small modules; Assist in bug fixing and debugging; Learn and implement MVC patterns; Support database integration tasks; Understand version control basics; Work on minor testing scripts; Follow coding standards,.NET; C#; ASP.NET MVC; SQL Server; Entity Framework; Git,1,Q1,net-f-003
.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET basics; SQL Server; HTML; CSS; LINQ; Visual Studio,Support in software design documentation; Assist senior developers in testing; Create small UI components; Debug and test applications; Implement basic LINQ queries; Participate in code maintenance,.NET; C#; SQL Server; Entity Framework; ASP.NET,1,Q1,net-f-004
.NET Developer,Fresher,0-1,C#; ASP.NET; MVC; Entity Framework basics; SQL Server; HTML; CSS; JavaScript basics,Learn to design and build ASP.NET applications; Assist in connecting apps to SQL Server; Work on UI development; Participate in daily standups; Write small unit test cases,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server,1,Q1,net-f-005
.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET; Razor; SQL Server; Git; NUnit basics,Assist in Razor page development; Learn version control processes; Perform debugging under supervision; Support data access layer coding; Contribute to testing efforts,.NET; C#; ASP.NET; Razor; SQL Server; Unit Testing,1,Q1,net-f-006
.NET Developer,Fresher,0-1,C#; VB.NET; .NET Core basics; ASP.NET MVC; HTML; CSS; SQL Server; Visual Studio,Support team in MVC project development; Help in resolving minor bugs; Write basic SQL queries; Collaborate with developers for tasks; Participate in project discussions,.NET; C#; ASP.NET MVC; SQL Server,1,Q1,net-f-007
.NET Developer,Fresher,0-1,C#; .NET Framework basics; ASP.NET MVC; Entity Framework basics; SQL Server; LINQ,Assist in building backend modules; Learn and apply Entity Framework; Help in writing LINQ queries; Support bug fixing; Write basic documentation,.NET; C#; ASP.NET MVC; Entity Framework; LINQ; SQL Server,1,Q1,net-f-008
.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET; HTML; CSS; SQL Server,Write simple ASP.NET pages; Collaborate with design team; Assist in database operations; Perform code reviews with seniors; Learn about MVC patterns,.NET; C#; ASP.NET; SQL Server,1,Q1,net-f-009
.NET Developer,Fresher,0-1,C#; ASP.NET MVC; .NET Core basics; Entity Framework basics; SQL Server; Git,Support new feature development; Assist with application configuration; Help in database schema setup; Perform small unit testing tasks; Follow agile methodology basics,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Git,1,Q1,net-f-010
.NET Developer,Experienced,5,C#; .NET Core; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper,Develop front-end with Blazor/Angular; Implement repository pattern with Dapper; Optimize SQL Server queries; Enhance UI/UX for applications; Mentor junior team members,.NET Core; C#; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper,1,Q1,nan
.NET Developer,Experienced,3,C#; ASP.NET Core; WebAPI; gRPC; SQL Server; Azure,Build RESTful and gRPC APIs; Integrate services with Azure; Design database schemas; Monitor system performance; Provide technical leadership,.NET Core; C#; WebAPI; gRPC; SQL Server; Azure,1,Q1,nan
Web Developer,Experienced,4,JavaScript; TypeScript; React; Node.js; Express.js; SQL; MongoDB; Docker; Kubernetes; GraphQL; REST APIs,Develop and maintain full stack applications; Integrate GraphQL and REST APIs; Deploy using Docker/Kubernetes; Optimize database and server performance; Collaborate with cross-functional teams,React; Node.js; Express.js; SQL; MongoDB; Docker; Kubernetes; GraphQL; REST APIs,1,Q1,nan
Java Developer,Fresher,0,Java APIs; Concurrency Basics; JDBC; SQL (MySQL/PostgreSQL); Servlets; JSP; HTML; CSS; JavaScript,Support web application development using JSP/Servlets; Learn and implement JDBC for database connectivity; Work with frontend basics like HTML/CSS/JS; Debug and fix minor issues in development,Java; SQL; JDBC; Servlets; JSP; Web Development,1,Q1,jd-java-002
Java Developer,Fresher,0,Java Collections; Multithreading Basics; Database Management; SQL Queries,Assist in handling data persistence layers; Write and optimize SQL queries; Understand multithreading basics in Java,Java; Collections; SQL; Database; Multithreading,1,Q1,jd-java-005
Java Developer,Fresher,0,Servlets; JSP; SQL Basics; JDBC; Git,Develop simple CRUD operations; Work on servlet-based web applications; Connect Java apps with SQL databases using JDBC,Java; Servlets; JSP; SQL; JDBC,1,Q1,jd-java-008
Java Developer,Experienced,2,Advanced Java; Spring Boot; Hibernate; REST APIs; SQL,Design and implement scalable Java applications; Develop RESTful APIs with Spring Boot; Integrate Hibernate ORM for persistence,Java Developer; Spring Boot; Hibernate; REST APIs; SQL,1,Q1,jd-java-011
BI Analyst - Fresher,Entry-Level,0–1 year,SQL; MySQL/PostgreSQL; Tableau; Power BI; Excel; Basic statistics; ETL process understanding; Business process knowledge,Prepare reports; Dashboards; Visual insights; Support junior data initiatives,BI; Analytics; Fresher; Entry-Level; SQL; Tableau; Power BI,1,Q1,bi008
Java Developer,Experienced,5,Advanced SQL; Database Tuning; MongoDB; Cassandra; Performance Optimization,Tune database queries for performance; Work with NoSQL databases like MongoDB and Cassandra; Ensure optimal persistence layer design,Java; SQL; NoSQL; MongoDB; Performance Tuning,0,Q1,jd-java-017
Full Stack Developer - Entry Level,Fresher,0–1 year,HTML; CSS; JavaScript; React; Vue.js; Angular; Node.js; Flask; SQL; NoSQL; Git,Assist in frontend development with React or Vue.js; Develop backend services using Node.js or Flask; Manage SQL/NoSQL databases; Perform testing; Collaborate with Agile teams,Full Stack Developer; Entry-Level; Fresher; Frontend; Backend; Cloud Development; Agile,1,Q1,8
Software Developer - Entry Level,Fresher,0–1 year,Java; Python; C++; HTML; CSS; JavaScript; SQL; Git; Problem-solving; Collaboration,"Contribute to software development projects; Write clean code in Java, Python, or C++; Assist in developing web interfaces with HTML, CSS, JavaScript; Participate in debugging and testing; Collaborate in Agile sprints; Learn from senior engineers and adapt to new technologies",Software Developer; Entry-Level; Fresher; Java; Python; C++; Web Development; Agile,1,Q1,sd001
Software Developer - Entry Level,Fresher,0–1 year,Java; Python; C++; HTML; CSS; JavaScript; SQL; Git; Teamwork; Problem-solving,"Assist in building and maintaining software applications; Develop front-end components using HTML, CSS, JavaScript; Support backend development in Java or Python; Write SQL queries; Participate in testing and debugging; Collaborate with the team in Agile workflows",Software Developer; Entry-Level; Fresher; Frontend; Backend; Agile; Teamwork,1,Q1,sd002
Software Developer - Entry Level,Fresher,0–1 year,Java; Python; C++; HTML; CSS; JavaScript; SQL; Git; Problem-solving; Teamwork,"Assist in coding, debugging, and testing applications; Support front-end development using JavaScript frameworks; Maintain database scripts; Collaborate with senior developers; Learn best practices in software engineering",Software Developer; Entry-Level; Fresher; Frontend; Backend; Debugging; Testing,1,Q1,sd003
Software Developer - Entry Level,Fresher,0–1 year,Java; Python; C++; HTML; CSS; JavaScript; SQL; Git; Analytical thinking; Collaboration,"Develop front-end interfaces using HTML, CSS, JavaScript; Write server-side logic in Java or Python; Create and maintain SQL queries; Participate in debugging and testing; Collaborate with team members in Agile workflow",Software Developer; Entry-Level; Fresher; Frontend; Backend; Agile; Teamwork,1,Q1,sd004
Software Developer - Entry Level,Fresher,0–1 year,Java; Python; C++; HTML; CSS; JavaScript; SQL; Git; Problem-solving; Communication,"Write code in Java, Python, or C++; Assist in front-end web development with HTML, CSS, and JavaScript; Maintain SQL databases; Debug and test modules; Collaborate with senior engineers in Agile ceremonies",Software Developer; Entry-Level; Fresher; Frontend; Backend; Agile; Collaboration,1,Q1,sd005
Software Developer - Entry Level,Fresher,0–1 year,JavaScript; Python; Java; Angular; React; SQL; NoSQL; Git; Collaboration; Problem-solving,Assist in front-end development with Angular or React; Write backend logic in Node.js or Python; Maintain SQL/NoSQL databases; Perform testing; Collaborate in Agile sprints,Software Developer; Entry-Level; Fresher; Frontend; Backend; Agile; Web Development,1,Q1,sd006
Data Scientist - Fresher,Fresher,0-1,"Python; R; SQL; Pandas; NumPy; Matplotlib; Seaborn; MySQL; PostgreSQL; Basic ML algorithms: regression, classification, clustering",Perform exploratory data analysis; Build basic predictive models; Visualize business data for insights; Learn from senior team members; Contribute to small-scale projects,Data Scientist; Python; R; SQL; Data Analysis; Visualization; Machine Learning,1,Q1,ds-f4
Software Developer - Entry Level,Fresher,0–1 year,"Python; SQL; Git; ML libraries (scikit-learn, pandas); Problem-solving; Collaboration",Write Python scripts for data preprocessing; Assist in building machine learning models; Integrate REST APIs; Perform testing in collaboration with data scientists,Software Developer; Entry-Level; Fresher; AI; Data Analytics; Machine Learning,1,Q1,sd008
Data Science Intern,Fresher,0-1,"Python; R; SQL; Pandas; NumPy; Matplotlib; Seaborn; MySQL; PostgreSQL; Basic ML: logistic regression, clustering, decision trees; Data preprocessing; Data wrangling",Assist in analyzing datasets; Build basic predictive models; Visualize insights for projects; Participate in learning sessions; Work under supervision for analytics tasks,Data Science Intern; Python; R; SQL; Machine Learning; Data Visualization; Data Analysis,1,Q1,ds-f7
Data Science Associate,Fresher,0-1,"Python; R; SQL; Pandas; NumPy; Matplotlib; Seaborn; MySQL; PostgreSQL; Basic ML: regression, classification, clustering; Data cleaning; Data preprocessing",Assist in exploratory data analysis; Implement basic predictive models; Perform data visualization; Learn ETL processes and analytics workflows; Collaborate on small-scale projects,Data Science Associate; Python; R; SQL; Machine Learning; Data Visualization; ETL,1,Q1,ds-f9
Software Engineer - Entry Level,Fresher,0-2,Java; SQL; Git; REST APIs; IntelliJ; GitHub,Develop secure applications using Java and SQL; Assist in debugging REST APIs; Collaborate in agile workflows; Contribute to integration testing; Document processes for clarity,Software Engineer; Java; SQL; REST API; Agile; Integration Testing; Debugging,1,Q1,se-f2
Software Engineer - Entry Level,Fresher,0-2,Python; Django; SQL; Git; PyCharm; Trello,Develop backend services with Python and Django; Write SQL queries for data management; Assist in debugging and bug fixing; Participate in agile sprints and Git workflows; Document code for scalability,Software Engineer; Python; Django; SQL; Backend; Agile; Debugging,1,Q1,se-f4
Backend Developer - Entry Level,Fresher,0–1 year,Node.js; Python; Express.js; Flask; Django; MySQL; PostgreSQL; MongoDB; Redis; RESTful API; Git; Docker; Cloud Basics,Server-side development for web and mobile apps; Implement RESTful APIs; Manage SQL/NoSQL databases; Optimize performance; Participate in Agile development processes,Backend Developer; Fresher; Server-Side Development; Agile; API Development,1,Q2,4
Backend Developer - Entry Level,Fresher,0–1 year,Node.js; Python; Express.js; Django; Flask; MySQL; PostgreSQL; MongoDB; RESTful API; Git; Docker; Cloud Basics,Assist in developing backend services for web apps; Implement RESTful APIs; Work with SQL/NoSQL databases; Optimize performance; Participate in Agile sprints,Backend Developer; Fresher; API Development; Server-Side Development; Agile,1,Q2,7
Web Developer,Fresher,0-1,HTML5; CSS3; JavaScript; Vue.js basics; Node.js basics; Python basics; Git; MySQL basics; REST APIs; JSON; Responsive Design,Develop simple front-end pages; Assist in back-end scripting with Node.js or Python; Integrate APIs into web pages; Learn version control practices; Participate in debugging and testing tasks,HTML5; CSS3; JavaScript; Vue.js; Node.js; Python; MySQL; REST APIs,1,Q2,web-f-002
Web Developer,Fresher,0-1,HTML5; CSS3; JavaScript; Angular basics; Node.js basics; Python basics; Git; MySQL basics; REST APIs,Support front-end web development; Implement basic API calls; Assist in responsive design; Participate in testing and bug fixing; Follow Git version control,HTML5; CSS3; JavaScript; Angular; Node.js; Python; MySQL; REST APIs,1,Q2,web-f-006
Web Developer,Fresher,0-1,HTML5; CSS3; JavaScript; Angular basics; PHP basics; Node.js basics; Git; MySQL basics; REST APIs,Assist in building web applications; Implement front-end layouts; Integrate REST APIs; Participate in testing and debugging; Follow version control practices,HTML5; CSS3; JavaScript; Angular; Node.js; PHP; MySQL; REST APIs,1,Q2,web-f-008
Python Developer,Experienced,5,Python advanced; Async programming; Decorators; Generators; Metaprogramming; Django advanced; Flask advanced; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes; AWS; Leadership; Project management,"Architect Python applications; Build advanced APIs and integrate with ML frameworks; Manage database optimizations; Implement DevOps practices using Docker, Kubernetes, AWS; Lead development teams; Mentor junior developers; Conduct testing and code review; Collaborate with stakeholders",Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest,0,Q2,nan
Python Developer,Experienced,5-7,Python advanced; Async programming; Decorators; Generators; Metaprogramming; Django; Flask; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes; AWS; Leadership; Team collaboration,Architect and develop Python applications; Design REST and GraphQL APIs; Integrate with ML frameworks; Optimize database queries; Implement Docker/Kubernetes/AWS solutions; Mentor teams; Conduct testing and code reviews; Collaborate with stakeholders,Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest,0,Q2,py-e-016
Frontend Developer - Entry Level,Entry-Level,0–1 year,HTML; CSS; JavaScript; React basics; Angular basics; Bootstrap; Tailwind CSS; Git; Browser Developer Tools,Build responsive web pages; Assist in integrating APIs; Maintain frontend components; Learn performance optimization techniques,Frontend; Web Application Development; Entry-Level; Fresher; UI,0,Q2,fe008
Android Developer Intern,Fresher,0,Java; Kotlin; Android Studio; XML; REST APIs; SQLite; UI/UX Basics; Git; MVC,Assist in building small Android app modules.; Write clean code in Java and Kotlin under supervision.; Follow Material Design guidelines for UI development.; Integrate simple REST APIs and store data locally.; Participate in basic unit testing and debugging.,Java; Kotlin; Android Studio; Material Design; UI/UX Design; Android SDK; REST API; SQLite; Mobile Development,1,Q2,and-f-01
Full Stack Developer - Entry Level,Fresher,0–1 year,HTML5; CSS3; JavaScript (ES6+); React; Angular; Vue.js; Node.js; Python (Django/Flask); SQL; NoSQL; Git,"Develop end-to-end web applications; Write clean code in JavaScript and Python; Work with frontend frameworks like React or Angular; Assist in building backend services using Node.js or Django; Participate in testing, debugging, and Agile sprints; Learn modern deployment and cloud practices",Full Stack Developer; Entry-Level; Fresher; Frontend; Backend; Web Development; Agile; Cloud,0,Q2,1
Entry-level Android Developer,Fresher,0,Java; Kotlin; Android Studio; XML; Material Design; SQLite; REST API; Git,Build Android app screens and connect basic APIs.; Ensure responsive layouts and follow Material Design principles.; Write unit tests for small modules.; Document development workflows.; Collaborate with senior developers for guidance.,Java; Kotlin; Android Studio; Material Design; UI/UX Design; REST API; SQLite,1,Q2,and-f-04
Software Developer - Entry Level,Fresher,0–1 year,Java; Python; C++; HTML; CSS; JavaScript; SQL; Git; Teamwork; Problem-solving,"Assist in building and maintaining software applications; Develop front-end components using HTML, CSS, JavaScript; Support backend development in Java or Python; Write SQL queries; Participate in testing and debugging; Collaborate with the team in Agile workflows",Software Developer; Entry-Level; Fresher; Frontend; Backend; Agile; Teamwork,0,Q2,sd002
Software Developer - Entry Level,Fresher,0–1 year,"Python; SQL; Git; ML libraries (scikit-learn, pandas); Problem-solving; Collaboration",Write Python scripts for data preprocessing; Assist in building machine learning models; Integrate REST APIs; Perform testing in collaboration with data scientists,Software Developer; Entry-Level; Fresher; AI; Data Analytics; Machine Learning,1,Q2,sd008
Python Developer,Fresher,0-1,Python basics; OOP basics; Control flow; Functions; Exception handling; Django basics; Flask basics; FastAPI basics; Pandas basics; NumPy basics; Matplotlib basics; SQL basics; MongoDB basics; Git basics; PyTest basics; Communication; Teamwork; Problem-solving,Support development of Python projects; Implement basic functionalities; Assist in web application development with frameworks; Perform data analysis and visualization; Write unit tests using PyTest; Document project code and processes; Collaborate with team members,Python; Django; Flask; NumPy; Pandas; SQL; Git; REST APIs; OOP,1,Q2,py-f-005
Python Developer,Fresher,0-1,Python basics; OOP basics; Functions; Exception handling; Django basics; Flask basics; FastAPI basics; Pandas basics; NumPy basics; Matplotlib basics; SQL basics; MongoDB basics; Git basics; unittest basics; Communication; Teamwork; Problem-solving; Adaptability,Assist in Python backend development; Support framework-based web applications; Perform data processing and visualization tasks; Write unit tests; Collaborate with team members; Document coding practices; Follow Git version control,Python; Django; Flask; NumPy; Pandas; SQL; Git; REST APIs; OOP,1,Q2,py-f-006
